id,title,description,risk
apigateway_restapi_cache_encrypted,Check if API Gateway REST API cache data is encrypted at rest.,This control checks whether all methods in API Gateway REST API stages that have cache enabled are encrypted. The control fails if any method in an API Gateway REST API stage is configured to cache and the cache is not encrypted.,"Without encryption, cached data in API Gateway REST APIs may be vulnerable to unauthorized access, potentially exposing sensitive information to users not authenticated to AWS."
apigateway_restapi_client_certificate_enabled,Check if API Gateway Stage has client certificate enabled to access your backend endpoint.,Check if API Gateway Stage has client certificate enabled to access your backend endpoint.,Possible man in the middle attacks and other similar risks.
apigateway_restapi_logging_enabled,Check if API Gateway Stage has logging enabled.,Check if API Gateway Stage has logging enabled.,"If not enabled, monitoring of service use is not possible. Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms."
apigateway_restapi_public,Check if API Gateway endpoint is public or private.,Check if API Gateway endpoint is public or private.,If accessible from internet without restrictions opens up attack / abuse surface for any malicious user.
apigateway_restapi_public_with_authorizer,Check if API Gateway public endpoint has an authorizer configured.,Check if API Gateway public endpoint has an authorizer configured.,If accessible from internet without restrictions opens up attack / abuse surface for any malicious user.
apigateway_restapi_tracing_enabled,Check if AWS X-Ray tracing is enabled for API Gateway REST API stages.,This control checks whether AWS X-Ray active tracing is enabled for your Amazon API Gateway REST API stages.,"Without X-Ray active tracing, it may be difficult to quickly identify and respond to performance issues that could lead to decreased availability or degradation of the API's performance."
apigateway_restapi_waf_acl_attached,Check if API Gateway Stage has a WAF ACL attached.,Check if API Gateway Stage has a WAF ACL attached.,"Potential attacks and / or abuse of service, more even for even for internet reachable services."
apigatewayv2_api_access_logging_enabled,Ensure API Gateway V2 has Access Logging enabled.,Ensure API Gateway V2 has Access Logging enabled.,If no authorizer is enabled anyone can use the service.
apigatewayv2_api_authorizers_enabled,Checks if API Gateway V2 has configured authorizers.,Checks if API Gateway V2 has configured authorizers.,If no authorizer is enabled anyone can use the service.
apiserver_always_pull_images_plugin,Ensure that the admission control plugin AlwaysPullImages is set,"This check verifies that the AlwaysPullImages admission control plugin is enabled in the Kubernetes API server. This plugin ensures that every new pod always pulls the required images, enforcing image access control and preventing the use of possibly outdated or altered images.","Without AlwaysPullImages, once an image is pulled to a node, any pod can use it without any authorization check, potentially leading to security risks."
apiserver_anonymous_requests,Ensure that the --anonymous-auth argument is set to false,"Disable anonymous requests to the API server. When enabled, requests that are not rejected by other configured authentication methods are treated as anonymous requests, which are then served by the API server. Disallowing anonymous requests strengthens security by ensuring all access is authenticated.",Enabling anonymous access to the API server can expose the cluster to unauthorized access and potential security vulnerabilities.
apiserver_audit_log_maxage_set,Ensure that the --audit-log-maxage argument is set to 30 or as appropriate,This check ensures that the Kubernetes API server is configured with an appropriate audit log retention period. Setting --audit-log-maxage to 30 or as per business requirements helps in maintaining logs for sufficient time to investigate past events.,"Without an adequate log retention period, there may be insufficient audit history to investigate and analyze past events or security incidents."
apiserver_audit_log_maxbackup_set,Ensure that the --audit-log-maxbackup argument is set to 10 or as appropriate,This check ensures that the Kubernetes API server is configured with an appropriate number of audit log backups. Setting --audit-log-maxbackup to 10 or as per business requirements helps maintain a sufficient log backup for investigations or analysis.,"Without an adequate number of audit log backups, there may be insufficient log history to investigate past events or security incidents."
apiserver_audit_log_maxsize_set,Ensure that the --audit-log-maxsize argument is set to 100 or as appropriate,This check ensures that the Kubernetes API server is configured with an appropriate audit log file size limit. Setting --audit-log-maxsize to 100 MB or as per business requirements helps manage the size of log files and prevents them from growing excessively large.,"Without an appropriate audit log file size limit, log files can grow excessively large, potentially leading to storage issues and difficulty in log analysis."
apiserver_audit_log_path_set,Ensure that the --audit-log-path argument is set,This check verifies that the Kubernetes API server is configured with an audit log path. Enabling audit logs helps in maintaining a chronological record of all activities and operations which can be critical for security analysis and troubleshooting.,"Without audit logs, it becomes difficult to track changes and activities within the cluster, potentially obscuring the detection of malicious activities or operational issues."
apiserver_auth_mode_include_node,Ensure that the --authorization-mode argument includes Node,"This check ensures that the Kubernetes API server is configured to include 'Node' in its --authorization-mode argument. This mode restricts kubelets to only read objects associated with their nodes, enhancing security.","If the Node authorization mode is not included, kubelets may have broader access than necessary, which can pose a security risk."
apiserver_auth_mode_include_rbac,Ensure that the --authorization-mode argument includes RBAC,This check verifies that Role Based Access Control (RBAC) is enabled in the Kubernetes API server's authorization mode. RBAC allows for fine-grained control over cluster operations and is recommended for secure and manageable access control.,"If RBAC is not included in the API server's authorization mode, the cluster may not be leveraging fine-grained access controls, leading to potential security risks."
apiserver_auth_mode_not_always_allow,Ensure that the --authorization-mode argument is not set to AlwaysAllow,"This check ensures that the Kubernetes API server is not configured to always authorize all requests. The 'AlwaysAllow' mode bypasses all authorization checks, which should not be used on production clusters.","If set to AlwaysAllow, the API server would authorize all requests, potentially leading to unauthorized access and security vulnerabilities."
apiserver_client_ca_file_set,Ensure that the --client-ca-file argument is set as appropriate,"This check ensures that the Kubernetes API server is configured with the --client-ca-file argument, specifying the CA file for client authentication. This setting enables the API server to authenticate clients using certificates signed by the CA and is crucial for secure communication.","If the client CA file is not set, the API server may not properly authenticate clients, potentially leading to unauthorized access."
apiserver_deny_service_external_ips,Ensure that the DenyServiceExternalIPs is set,"This check ensures the DenyServiceExternalIPs admission controller is enabled, which rejects all new usage of the Service field externalIPs. Enabling this controller enhances security by preventing the misuse of the externalIPs field.","Not setting the DenyServiceExternalIPs admission controller could allow users to create Services with external IPs, potentially exposing services to security risks."
apiserver_disable_profiling,Ensure that the --profiling argument is set to false,"This check ensures that profiling is disabled in the Kubernetes API server. Profiling generates extensive data about the system's performance and operations, which, if not needed, should be disabled to reduce the attack surface.","Enabled profiling can potentially expose detailed system and program data, which might be exploited for malicious purposes."
apiserver_encryption_provider_config_set,Ensure that the --encryption-provider-config argument is set as appropriate,This check ensures that the Kubernetes API server is configured with the --encryption-provider-config argument to encrypt sensitive data at rest in the etcd key-value store. Encrypting data at rest prevents potential unauthorized disclosures and ensures that the sensitive data is secure.,"Without proper configuration of the encryption provider, sensitive data stored in etcd might not be encrypted, posing a risk of data breaches."
apiserver_etcd_cafile_set,Ensure that the --etcd-cafile argument is set as appropriate,"This check ensures that the Kubernetes API server is configured with the --etcd-cafile argument, specifying the Certificate Authority file for etcd client connections. This setting is important for secure communication with etcd and ensures that the API server connects to etcd with an SSL Certificate Authority file.","Without proper TLS configuration, communication between the API server and etcd can be unencrypted, leading to potential security vulnerabilities."
apiserver_etcd_tls_config,Ensure that the --etcd-certfile and --etcd-keyfile arguments are set as appropriate,"This check ensures that the Kubernetes API server is configured with TLS encryption for etcd client connections, using --etcd-certfile and --etcd-keyfile arguments. Setting up TLS for etcd is crucial for securing the sensitive data stored in etcd as it's the primary datastore for Kubernetes.","Without TLS encryption, data stored in etcd is susceptible to eavesdropping and man-in-the-middle attacks, potentially leading to data breaches."
apiserver_event_rate_limit,Ensure that the admission control plugin EventRateLimit is set,"This check verifies if the Kubernetes API server is configured with the EventRateLimit admission control plugin. This plugin limits the rate of events accepted by the API Server, preventing potential DoS attacks by misbehaving workloads.","Without EventRateLimit, the API server could be overwhelmed by a high number of events, leading to DoS and performance issues."
apiserver_kubelet_cert_auth,Ensure that the --kubelet-certificate-authority argument is set as appropriate,"This check ensures that the Kubernetes API server is set up with a specified certificate authority for kubelet connections, using the --kubelet-certificate-authority argument. This setup is crucial for verifying the kubelet's certificate to prevent man-in-the-middle attacks during connections from the apiserver to the kubelet.","Without the --kubelet-certificate-authority argument, connections to kubelets are not verified, increasing the risk of man-in-the-middle attacks, especially over untrusted networks."
apiserver_kubelet_tls_auth,Ensure that the --kubelet-client-certificate and --kubelet-client-key arguments are set as appropriate,"This check ensures that the Kubernetes API server is set up with certificate-based authentication to the kubelet. This setup requires the --kubelet-client-certificate and --kubelet-client-key arguments in the kube-apiserver configuration to be set, ensuring secure communication between the API server and kubelets.","Without certificate-based authentication to kubelets, requests from the apiserver are treated as anonymous, which could lead to unauthorized access and manipulation of node resources."
apiserver_namespace_lifecycle_plugin,Ensure that the admission control plugin NamespaceLifecycle is set,"This check verifies that the NamespaceLifecycle admission control plugin is enabled in the Kubernetes API server. This plugin prevents the creation of objects in non-existent or terminating namespaces, enforcing the integrity of the namespace lifecycle and availability of new objects.","Without NamespaceLifecycle, objects may be created in namespaces that are being terminated, potentially leading to inconsistencies and resource conflicts."
apiserver_no_always_admit_plugin,Ensure that the admission control plugin AlwaysAdmit is not set,"This check verifies that the Kubernetes API server is not configured with the AlwaysAdmit admission control plugin. The AlwaysAdmit plugin allows all requests without any filtering, which is a security risk and is deprecated.","Enabling AlwaysAdmit permits all requests by default, bypassing other admission control checks, which can lead to unauthorized access."
apiserver_no_token_auth_file,Ensure that the --token-auth-file parameter is not set,"This check ensures that the Kubernetes API server is not using static token-based authentication, which is less secure. Static tokens are stored in clear-text and lack features like revocation or rotation without restarting the API server.","Using static token-based authentication exposes the cluster to security risks due to the static nature of the tokens, their clear-text storage, and the inability to revoke or rotate them easily."
apiserver_node_restriction_plugin,Ensure that the admission control plugin NodeRestriction is set,"This check ensures that the NodeRestriction admission control plugin is enabled in the Kubernetes API server. NodeRestriction limits the Node and Pod objects that a kubelet can modify, enhancing security by ensuring kubelets are restricted to manage their own node and pods.","Without NodeRestriction, kubelets may have broader access to Node and Pod objects, potentially leading to unauthorized modifications and security risks."
apiserver_request_timeout_set,Ensure that the --request-timeout argument is set as appropriate,"This check verifies that the Kubernetes API server is configured with an appropriate global request timeout. Setting a suitable --request-timeout value ensures the API server can handle requests efficiently without exhausting resources, especially in cases of slower connections or high-volume data requests.","An inadequately set request timeout may lead to inefficient handling of API requests, either by timing out too quickly on slow connections or by allowing requests to consume excessive resources, leading to potential Denial-of-Service attacks."
apiserver_security_context_deny_plugin,Ensure that the admission control plugin SecurityContextDeny is set if PodSecurityPolicy is not used,This check verifies that the SecurityContextDeny admission control plugin is enabled in the Kubernetes API server if PodSecurityPolicy is not used. The SecurityContextDeny plugin denies pods that make use of certain SecurityContext fields which could allow privilege escalation.,"Without SecurityContextDeny, pods may be able to escalate privileges if PodSecurityPolicy is not used, potentially leading to security vulnerabilities."
apiserver_service_account_key_file_set,Ensure that the --service-account-key-file argument is set as appropriate,"This check ensures that the Kubernetes API server is configured with a --service-account-key-file argument, specifying the public key file for service account verification. A separate key pair for service accounts enhances security by enabling key rotation and ensuring service account tokens are verified with a specific public key.","Without a specified service account public key file, the API server may use the private key from its TLS serving certificate, hindering the ability to rotate keys and increasing security risks."
apiserver_service_account_lookup_true,Ensure that the --service-account-lookup argument is set to true,"This check ensures that the Kubernetes API server is configured with --service-account-lookup set to true. This setting validates the service account associated with each request, ensuring that the service account token is not only valid but also currently exists.","If --service-account-lookup is disabled, deleted service accounts might still be used, posing a security risk."
apiserver_service_account_plugin,Ensure that the admission control plugin ServiceAccount is set,"This check verifies that the ServiceAccount admission control plugin is enabled in the Kubernetes API server. This plugin automates the creation and assignment of service accounts to pods, enhancing security by managing service account tokens.","If the ServiceAccount admission plugin is disabled, pods might be assigned the default service account without proper token management, leading to potential security risks."
apiserver_strong_ciphers_only,Ensure that the API Server only makes use of Strong Cryptographic Ciphers,"This check ensures that the Kubernetes API server is configured to only use strong cryptographic ciphers, minimizing the risk of vulnerabilities associated with weaker ciphers. Strong ciphers enhance the security of TLS connections to the API server.","Using weak ciphers can leave the API server vulnerable to cryptographic attacks, compromising the security of data in transit."
apiserver_tls_config,Ensure that the --tls-cert-file and --tls-private-key-file arguments are set as appropriate,"This check ensures that the Kubernetes API server is configured with TLS for secure communication. The --tls-cert-file and --tls-private-key-file arguments should be set to enable TLS encryption, thereby securing sensitive data transmitted to and from the API server.","If TLS is not properly configured, the API server communication could be unencrypted, leading to potential data breaches."
appstream_fleet_default_internet_access_disabled,Ensure default Internet Access from your Amazon AppStream fleet streaming instances should remain unchecked.,Ensure default Internet Access from your Amazon AppStream fleet streaming instances should remain unchecked.,Default Internet Access from your fleet streaming instances should be controlled using a NAT gateway in the VPC.
appstream_fleet_maximum_session_duration,Ensure user maximum session duration is no longer than 10 hours.,Ensure user maximum session duration is no longer than 10 hours.,Having a session duration lasting longer than 10 hours should not be necessary and if running for any malicious reasons provides a greater time for usage than should be allowed.
appstream_fleet_session_disconnect_timeout,Ensure session disconnect timeout is set to 5 minutes or less.,Ensure session disconnect timeout is set to 5 minutes or less,"Disconnect timeout in minutes, is the amount of of time that a streaming session remains active after users disconnect."
appstream_fleet_session_idle_disconnect_timeout,Ensure session idle disconnect timeout is set to 10 minutes or less.,Ensure session idle disconnect timeout is set to 10 minutes or less.,Idle disconnect timeout in minutes is the amount of time that users can be inactive before they are disconnected from their streaming session and the Disconnect timeout in minutes time begins.
appsync_field_level_logging_enabled,AWS AppSync should have field-level logging enabled,This control checks whether an AWS AppSync API (only GraphQL APIs since boto3 doesnt have a method to return other APIs) field-level logging turned on. The control fails if the field resolver log level is set to None.,"Without field-level logging enabled, it's difficult to monitor, troubleshoot, and optimize GraphQL API queries effectively."
athena_workgroup_encryption,Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.,Ensure that encryption at rest is enabled for Amazon Athena query results stored in Amazon S3 in order to secure data and meet compliance requirements for data-at-rest encryption.,If not enabled sensitive information at rest is not protected.
athena_workgroup_enforce_configuration,Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.,Ensure that workgroup configuration is enforced so it cannot be overriden by client-side settings.,If workgroup configuration is not enforced security settings like encryption can be overriden by client-side settings.
athena_workgroup_logging_enabled,Ensure that logging is enabled for Amazon Athena workgroups to capture query activity.,"Enabling logging for a workgroup provides valuable insights into query activity, including user actions, query execution details, and potential security events.","Without logging enabled, it can be difficult to track and investigate potential security incidents or unauthorized access to Athena data. This can lead to data breaches, compliance violations, and increased security risks."
autoscaling_find_secrets_ec2_launch_configuration,[DEPRECATED] Find secrets in EC2 Auto Scaling Launch Configuration,[DEPRECATED] Find secrets in EC2 Auto Scaling Launch Configuration,"The use of a hard-coded password increases the possibility of password guessing. If hard-coded passwords are used, it is possible that malicious users gain access through the account in question."
autoscaling_group_capacity_rebalance_enabled,Check if Amazon EC2 Auto Scaling groups have capacity rebalance enabled.,This control checks whether an Amazon EC2 Auto Scaling group has capacity rebalance enabled.,"When you don't use Capacity Rebalancing, Amazon EC2 Auto Scaling doesn't replace Spot Instances until after the Amazon EC2 Spot service interrupts the instances and their health check fails. Before interrupting an instance, Amazon EC2 always gives both an EC2 instance rebalance recommendation and a Spot two-minute instance interruption notice."
autoscaling_group_elb_health_check_enabled,Check if Auto Scaling groups associated with a load balancer use ELB health checks.,This control checks whether an Amazon EC2 Auto Scaling group that is associated with a load balancer uses Elastic Load Balancing (ELB) health checks. The control fails if the Auto Scaling group doesn't use ELB health checks.,"If ELB health checks are not enabled, the Auto Scaling group might not be able to accurately determine the health of instances, which could impact the availability and reliability of the applications running on these instances."
autoscaling_group_launch_configuration_no_public_ip,Check if Amazon EC2 instances launched using Auto Scaling group launch configurations have Public IP addresses.,This control checks whether an Auto Scaling group's associated launch configuration assigns a public IP address to the group's instances. The control fails if the associated launch configuration assigns a public IP address.,"Assigning a public IP address to EC2 instances can expose them directly to the internet, increasing the risk of unauthorized access and potential security breaches."
autoscaling_group_launch_configuration_requires_imdsv2,Check if Auto Scaling group launch configurations require Instance Metadata Service Version 2 (IMDSv2).,"This control checks whether IMDSv2 is enabled on all instances launched by Amazon EC2 Auto Scaling groups. The control fails if the Instance Metadata Service (IMDS) version isn't included in the launch configuration or is configured as token optional, which allows either IMDSv1 or IMDSv2.","If IMDSv2 is not enforced, instances may be vulnerable to certain types of attacks that target the metadata service, potentially exposing sensitive instance information."
autoscaling_group_multiple_az,EC2 Auto Scaling Group should use multiple Availability Zones,EC2 Auto Scaling Group should use multiple Availability Zones,"In case of a failure in a single Availability Zone, the Auto Scaling Group will not be able to launch new instances to replace the failed ones."
autoscaling_group_multiple_instance_types,EC2 Auto Scaling Group should use multiple instance types in multiple Availability Zones.,"This control checks whether an Amazon EC2 Auto Scaling group uses multiple instance types in all the Availability Zones, meaning that there should be multiple Availability Zones with multiple instances on each one. The control fails if the Auto Scaling group has only one instance type defined.","Using only one instance type in an Auto Scaling group reduces the flexibility to launch new instances when there is insufficient capacity for that specific type, potentially affecting the availability of the application."
awslambda_function_inside_vpc,Ensure AWS Lambda Functions Are Deployed Inside a VPC,"This check verifies whether an AWS Lambda function is deployed within a Virtual Private Cloud (VPC). Deploying Lambda functions inside a VPC improves security by allowing control over the network environment, reducing the exposure to public internet threats.","Lambda functions not deployed in a VPC may expose your application to increased security risks, including unauthorized access and data breaches. Without the network isolation provided by a VPC, your Lambda functions are more vulnerable to attacks."
awslambda_function_invoke_api_operations_cloudtrail_logging_enabled,Check if Lambda functions invoke API operations are being recorded by CloudTrail.,Check if Lambda functions invoke API operations are being recorded by CloudTrail.,"If logs are not enabled, monitoring of service use and threat analysis is not possible."
awslambda_function_no_secrets_in_code,Find secrets in Lambda functions code.,Find secrets in Lambda functions code.,"The use of a hard-coded password increases the possibility of password guessing. If hard-coded passwords are used, it is possible that malicious users gain access through the account in question."
awslambda_function_no_secrets_in_variables,Find secrets in Lambda functions variables.,Find secrets in Lambda functions variables.,"The use of a hard-coded password increases the possibility of password guessing. If hard-coded passwords are used, it is possible that malicious users gain access through the account in question."
awslambda_function_not_publicly_accessible,Check if Lambda functions have resource-based policy set as Public.,Check if Lambda functions have resource-based policy set as Public.,Publicly accessible services could expose sensitive data to bad actors.
awslambda_function_url_cors_policy,Check Lambda Function URL CORS configuration.,Check Lambda Function URL CORS configuration.,Publicly accessible services could expose sensitive data to bad actors.
awslambda_function_url_public,Check Public Lambda Function URL.,Check Public Lambda Function URL.,Publicly accessible services could expose sensitive data to bad actors.
awslambda_function_using_supported_runtimes,Find obsolete Lambda runtimes.,Find obsolete Lambda runtimes.,"If you have functions running on a runtime that will be deprecated in the next 60 days, Lambda notifies you by email that you should prepare by migrating your function to a supported runtime. In some cases, such as security issues that require a backwards-incompatible update, or software that does not support a long-term support (LTS) schedule, advance notice might not be possible. After a runtime is deprecated, Lambda might retire it completely at any time by disabling invocation. Deprecated runtimes are not eligible for security updates or technical support."
awslambda_function_vpc_multi_az,Check if AWS Lambda Function VPC is deployed Across Multiple Availability Zones,"This control checks whether an AWS Lambda function connected to a VPC operates in at least the specified number of Availability Zones (AZs). A failure occurs if the function does not operate in the required number of AZs, which by default is two.","A Lambda function not deployed across multiple AZs increases the risk of a single point of failure, which can result in a complete disruption of the function's operations if an AZ becomes unavailable."
backup_plans_exist,Ensure that there is at least one AWS Backup plan,This check ensures that there is at least one backup plan in place.,"Without a backup plan, an organization may be at risk of losing important data due to accidental deletion, system failures, or natural disasters. This can result in significant financial and reputational damage for the organization."
backup_recovery_point_encrypted,Check if AWS Backup recovery points are encrypted at rest.,This control checks if an AWS Backup recovery point is encrypted at rest. The control fails if the recovery point isn't encrypted at rest.,"Without encryption at rest, AWS Backup recovery points are vulnerable to unauthorized access, which could compromise the confidentiality and integrity of the backed-up data."
backup_reportplans_exist,Ensure that there is at least one AWS Backup report plan,This check ensures that there is at least one backup report plan in place.,"Without a backup report plan, an organization may lack visibility into the success or failure of backup operations."
backup_vaults_encrypted,Ensure that AWS Backup vaults are encrypted with AWS KMS,This check ensures that AWS Backup vaults are encrypted with AWS KMS.,"Without encryption using AWS KMS, an organization's backup data may be at risk of unauthorized access, which can lead to data breaches and other security incidents."
backup_vaults_exist,Ensure AWS Backup vaults exist,This check ensures that AWS Backup vaults exist to provide a secure and durable storage location for backup data.,"Without an AWS Backup vault, an organization's critical data may be at risk of being lost in the event of an accidental deletion, system failures, or natural disasters."
bedrock_agent_guardrail_enabled,Ensure that Guardrails are enabled for Amazon Bedrock agent sessions.,This check ensures that Guardrails are enabled to protect Amazon Bedrock agent sessions. Guardrails help mitigate security risks by filtering and blocking harmful or sensitive content during interactions with AI models.,"Without guardrails enabled, Amazon Bedrock agent sessions are vulnerable to harmful prompts or inputs that could expose sensitive information or generate inappropriate content. This could lead to privacy violations, data leaks, or other security risks."
bedrock_guardrail_prompt_attack_filter_enabled,Configure Prompt Attack Filter with the highest strength for Amazon Bedrock Guardrails.,Ensure that prompt attack filter strength is set to HIGH for Amazon Bedrock guardrails to mitigate prompt injection and bypass techniques.,"If prompt attack filter strength is not set to HIGH, Bedrock models may be more vulnerable to prompt injection attacks or jailbreak attempts, which could allow harmful or sensitive content to bypass filters and reach end users."
bedrock_guardrail_sensitive_information_filter_enabled,Configure Sensitive Information Filters for Amazon Bedrock Guardrails.,"Ensure that sensitive information filters are enabled for Amazon Bedrock guardrails to prevent the leakage of sensitive data such as personally identifiable information (PII), financial data, or confidential corporate information.","If sensitive information filters are not enabled, Bedrock models may inadvertently generate or expose confidential or sensitive information in responses, leading to data breaches, regulatory violations, or reputational damage."
bedrock_model_invocation_logging_enabled,Ensure that model invocation logging is enabled for Amazon Bedrock.,"Ensure that model invocation logging is enabled for Amazon Bedrock service in order to collect metadata, requests, and responses for all model invocations in your AWS cloud account.","In Amazon Bedrock, model invocation logging enables you to collect the invocation request and response data, along with metadata, for all 'Converse', 'ConverseStream', 'InvokeModel', and 'InvokeModelWithResponseStream' API calls in your AWS account. Each log entry includes important details such as the timestamp, request ID, model ID, and token usage. Invocation logs can be utilized for troubleshooting, performance enhancements, abuse detection, and security auditing. By default, model invocation logging is disabled."
bedrock_model_invocation_logs_encryption_enabled,Ensure that Amazon Bedrock model invocation logs are encrypted with KMS.,Ensure that Amazon Bedrock model invocation logs are encrypted using AWS KMS to protect sensitive data in the request and response logs for all model invocations.,"If Amazon Bedrock model invocation logs are not encrypted, sensitive data such as prompts, responses, and token usage could be exposed to unauthorized parties. This may lead to data breaches, security vulnerabilities, or unintended use of sensitive information."
cloudformation_stack_outputs_find_secrets,Find secrets in CloudFormation outputs,Find secrets in CloudFormation outputs,Secrets hardcoded into CloudFormation outputs can be used by malware and bad actors to gain lateral access to other services.
cloudformation_stacks_termination_protection_enabled,Enable termination protection for Cloudformation Stacks,Enable termination protection for Cloudformation Stacks,"Without termination protection enabled, a critical cloudformation stack can be accidently deleted."
cloudfront_distributions_custom_ssl_certificate,CloudFront distributions should use custom SSL/TLS certificates.,Ensure that your Amazon CloudFront distributions are configured to use a custom SSL/TLS certificate instead of the default one.,Using the default SSL/TLS certificate provided by CloudFront can limit your ability to use custom domain names and may not align with your organization's security policies or branding requirements.
cloudfront_distributions_default_root_object,Check if CloudFront distributions have a default root object.,Check if CloudFront distributions have a default root object.,"Without a default root object, requests to the root URL may result in an error or expose unintended content, leading to potential security risks and a poor user experience."
cloudfront_distributions_field_level_encryption_enabled,Check if CloudFront distributions have Field Level Encryption enabled.,Check if CloudFront distributions have Field Level Encryption enabled.,Allows you protect specific data throughout system processing so that only certain applications can see it.
cloudfront_distributions_geo_restrictions_enabled,Check if Geo restrictions are enabled in CloudFront distributions.,Check if Geo restrictions are enabled in CloudFront distributions.,"Consider countries where service should not be accessed, by legal or compliance requirements. Additionally if not restricted the attack vector is increased."
cloudfront_distributions_https_enabled,Check if CloudFront distributions are set to HTTPS.,Check if CloudFront distributions are set to HTTPS.,If not enabled sensitive information in transit is not protected. Surveillance and other threats are risks may exists.
cloudfront_distributions_https_sni_enabled,Check if CloudFront distributions are using SNI to serve HTTPS requests.,Check if CloudFront distributions are using SNI to serve HTTPS requests.,"If SNI is not used, CloudFront will allocate a dedicated IP address for each SSL certificate, leading to higher costs and inefficient IP address utilization. This could also complicate scaling and managing multiple distributions, especially if your domain requires multiple SSL certificates."
cloudfront_distributions_logging_enabled,Check if CloudFront distributions have logging enabled.,Check if CloudFront distributions have logging enabled.,If not enabled monitoring of service use is not possible.
cloudfront_distributions_multiple_origin_failover_configured,Check if CloudFront distributions have origin failover enabled.,Check if CloudFront distributions have origin failover enabled.,"Without origin failover, if the primary origin becomes unavailable, your CloudFront distribution may experience downtime, leading to potential service interruptions and a poor user experience."
